year,province_id,province_name,track,school_name,school_province,city,tier,f985,f211,shuangyiliu,min_score,min_rank,avg_score,batch
2020,gx,广西,history,江西科技师范大学,江西,南昌市,本科,0,0,0,485,13066,,普通类_本科二批
2020,gx,广西,history,山西师范大学,山西,临汾市,本科,0,0,0,485,13066,,普通类_本科二批
2020,gx,广西,history,大连大学,辽宁,大连市,本科,0,0,0,485,13066,,普通类_本科二批
2020,gx,广西,history,西华师范大学,四川,南充市,本科,0,0,0,484,13238,,普通类_本科二批
2020,gx,广西,history,宁波工程学院,浙江,宁波市,本科,0,0,0,484,13238,,普通类_本科二批
2020,gx,广西,history,云南民族大学,云南,昆明市,本科,0,0,0,484,13238,,普通类_本科二批
2020,gx,广西,history,台州学院,浙江,台州市,本科,0,0,0,484,13238,,普通类_本科二批
2020,gx,广西,history,南京传媒学院,江苏,南京市,本科,0,0,0,519,13383,,普通类_本科二批
2020,gx,广西,history,吉林师范大学,吉林,四平市,本科,0,0,0,483,13472,,普通类_本科二批
2020,gx,广西,history,河南科技大学,河南,洛阳市,本科,0,0,0,483,13472,,普通类_本科二批
2020,gx,广西,history,广东金融学院,广东,广州市,本科,0,0,0,483,13472,,普通类_本科二批
2020,gx,广西,history,鲁东大学,山东,烟台市,本科,0,0,0,483,13472,,普通类_本科二批
2020,gx,广西,history,河南中医药大学,河南,郑州市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,北京农学院,北京,北京市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,山西传媒学院,山西,太原市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,西安邮电大学,陕西,西安市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,大连海洋大学,辽宁,大连市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,湖南文理学院,湖南,常德市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,贵州民族大学,贵州,贵阳市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,北京石油化工学院,北京,北京市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,重庆三峡学院,重庆,重庆市,本科,0,0,0,482,13717,,普通类_本科二批
2020,gx,广西,history,广西民族大学相思湖学院,广西,南宁市,本科,0,0,0,500,13867,,普通类_本科提前批
2020,gx,广西,history,安庆师范大学,安徽,安庆市,本科,0,0,0,481,13955,,普通类_本科二批
2020,gx,广西,history,重庆第二师范学院,重庆,重庆市,本科,0,0,0,481,13955,,普通类_本科二批
2020,gx,广西,history,常州大学,江苏,常州市,本科,0,0,0,517,13966,,普通类_本科一批
2020,gx,广西,history,聊城大学,山东,聊城市,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,湖南医药学院,湖南,怀化市,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,山东理工大学,山东,淄博市,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,武汉商学院,湖北,武汉市,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,四川轻化工大学,四川,自贡市,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,大理大学,云南,大理白族自治州,本科,0,0,0,480,14185,,普通类_本科二批
2020,gx,广西,history,湖北民族大学,湖北,恩施土家族苗族自治州,本科,0,0,0,479,14424,,普通类_本科二批
2020,gx,广西,history,绍兴文理学院,浙江,绍兴市,本科,0,0,0,479,14424,,普通类_本科二批
2020,gx,广西,history,湖北中医药大学,湖北,武汉市,本科,0,0,0,479,14424,,普通类_本科二批
2020,gx,广西,history,阜阳师范大学,安徽,阜阳市,本科,0,0,0,478,14674,,普通类_本科二批
2020,gx,广西,history,湖北第二师范学院,湖北,武汉市,本科,0,0,0,478,14674,,普通类_本科二批
2020,gx,广西,history,江苏海洋大学,江苏,连云港市,本科,0,0,0,478,14674,,普通类_本科二批
2020,gx,广西,history,甘肃中医药大学,甘肃,兰州市,本科,0,0,0,478,14674,,普通类_本科二批
2020,gx,广西,history,江苏警官学院,江苏,南京市,本科,0,0,0,478,14674,,普通类_本科二批
2020,gx,广西,history,大连民族大学,辽宁,大连市,本科,0,0,0,478,14674,,汉族_本科二批
2020,gx,广西,history,长春理工大学,吉林,长春市,本科,0,0,0,513,14717,,普通类_本科二批
2020,gx,广西,history,沈阳农业大学,辽宁,沈阳市,本科,0,0,0,513,14910,,普通类_本科一批
2020,gx,广西,history,辽宁工程技术大学,辽宁,阜新市,本科,0,0,0,513,14910,,普通类_本科一批
2020,gx,广西,history,泉州师范学院,福建,泉州市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,井冈山大学,江西,吉安市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,兰州财经大学,甘肃,兰州市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,川北医学院,四川,南充市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,郑州师范学院,河南,郑州市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,兰州理工大学,甘肃,兰州市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,闽江学院,福建,福州市,本科,0,0,0,477,14913,,普通类_本科二批
2020,gx,广西,history,韩山师范学院,广东,潮州市,本科,0,0,0,512,14916,,普通类_本科二批
2020,gx,广西,history,湖南城市学院,湖南,益阳市,本科,0,0,0,476,15169,,普通类_本科二批
2020,gx,广西,history,河南农业大学,河南,郑州市,本科,0,0,0,475,15399,,普通类_本科二批
2020,gx,广西,history,湖南工程学院,湖南,湘潭市,本科,0,0,0,475,15399,,普通类_本科二批
2020,gx,广西,history,云南农业大学,云南,昆明市,本科,0,0,0,475,15399,,普通类_本科二批
2020,gx,广西,history,南昌工程学院,江西,南昌市,本科,0,0,0,475,15399,,普通类_本科二批
2020,gx,广西,history,华北水利水电大学,河南,郑州市,本科,0,0,0,474,15634,,普通类_本科二批
2020,gx,广西,history,中华女子学院,北京,北京市,本科,0,0,0,474,15634,,普通类_本科二批
